,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,21,longtemps,long time
20,22,heures,hours
21,23,vont,will
22,24,pendant,while
23,25,revoir,meet again
24,26,aucune,any
25,27,place,square
26,28,parle,speak
27,29,compris,understood
28,30,savais,knew
29,31,étaient,were
30,33,voici,here is
31,34,pourrais,could
32,35,affaire,case
33,36,donner,give
34,37,type,type
35,38,leurs,their
36,39,donné,given
37,40,train,train
38,41,corps,body
39,42,endroit,place
40,43,yeux,eyes
41,44,façon,way
42,45,écoute,listen
43,46,trouve,find
44,48,perdu,lost
45,49,main,hand
46,50,première,first
47,51,côté,side
48,52,pouvoir,power
49,53,vieux,old
50,54,sois,be
51,55,tiens,here
52,56,matin,morning
53,57,tellement,so much
54,58,enfant,child
55,59,point,point
56,60,venu,came
57,61,suite,after
58,62,pardon,sorry
59,63,devant,in front of
60,64,vers,towards
61,65,minutes,minutes
62,66,demandé,request
63,67,chambre,bedroom
64,68,mis,placed
65,69,belle,beautiful
66,70,droit,law
67,71,aimerais,would like to
68,72,aujourd'hui,today
69,73,mari,husband
70,74,cause,cause
71,75,enfin,finally
72,76,espère,hope
73,77,eau,water
74,78,attendez,Wait
75,79,parti,left
76,80,nouvelle,new
77,81,boulot,job
78,82,arrêter,Stop
79,83,dirait,would say
80,85,compte,account
81,86,donne,given
82,87,loin,far
83,88,fin,end
84,89,croire,believe
85,90,chérie,sweetheart
86,91,gros,large
87,92,plutôt,rather
88,93,aura,will have
89,94,filles,girls
90,95,jouer,to play
91,96,bureau,office
